id,susp_entrop_ratio,susp_name_ratio,susp_code_size,imphash,n_exports,n_antidbg,n_antivm,n_susp_api,has_cfg,has_dep,has_aslr,has_seh,has_gs,has_tls,has_code_integrity,susp_dbg_ts,n_url,n_ip,has_manifest,has_version,n_susp_strings,is_packed,has_certificate,susp_virustotal_ratio,n_yara_rules
071eedb831063286accf6260e4ac3472,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,0,1,0,-1,0
0742b7c20e14fc0b9390fd5aafef6442,0.0%,0.0%,0,,0,0,1,0,0,1,1,1,1,0,1,0,34,10,-1,-1,0,1,0,-1,5
075a49bedb6c92513c5f0d795b003fe3,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,0,1,0,-1,0
0781661d3d02b653ac4210a661fd3be7,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,1,1,0,-1,0
079f48ce52c4d5167b2c7a2f782ece27,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,0,1,0,-1,0
07a21d9b44e8e567dc44ef0e362abb9d,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,1,1,0,-1,0
07b636a8bf645b7c512be756a8b69fe2,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,-1,0,0,-1,-1,1,1,0,-1,3
081fad571b447985a5a7c3ee6fde98de,0.0%,0.25%,0,,0,0,0,0,0,1,1,0,-1,0,-1,-1,9,2,-1,-1,16,1,0,-1,3
083e68d8050d0d50ac9b1d20c30eeae8,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,0,1,0,-1,0
084c7e415d0ea71778e04814d7a31d68,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,1,1,0,-1,0
0856202cf0b5dc8209471ce088ec34df,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,0,1,0,-1,0
0874641ac8d85f97561bbe7c95398b62,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,1,1,0,-1,0
088ac19da60f218b61333982172f7ea2,0.6666666666666666%,0.6666666666666666%,1,,0,0,1,0,0,0,0,1,-1,1,-1,-1,1,0,-1,-1,3,0,0,-1,0
08a55d3bca43e5debf8b9d86896b6d6e,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-1,-1,1,1,0,-1,0
08c2f5fd502ee1883c647942b8649c22,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,0,1,0,-1,0
08d473157b28ab95bcb4594445da31bf,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-1,-1,0,1,0,-1,0
08e7f84f3d19a84ea3e5e288d8c0c775,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,0,1,0,-1,0
08eba81e97a35643c99efea3c06ba6d0,0.0%,0.0%,0,,0,0,0,0,0,1,1,0,-1,0,-1,0,0,0,-1,-1,1,1,0,-1,0
08ef0551076b6f978612ef5e165462cc,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-1,-1,1,1,0,-1,0
08f96d1552982b1f02fde6775a9c02ac,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-1,-1,0,1,0,-1,0
090503562faf12509c2e7cecdbddec81,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,1,1,0,-1,0
096945fd148f65e9d0e9e11e14a33404,0.0%,0.0%,0,
