id,n_antivm,has_dep,has_aslr,has_gs,has_tls,has_code_integrity,susp_dbg_ts,n_yara_rules
0454332cf19bd5715bf1a191e4d6b132,1,1,1,1,1,1,0,4
0478a65dc5db87e52dd56aecf72bcb27,0,1,1,1,1,1,-1,0
0492f2a2f0192956d126fb3d357fea7d,1,1,1,1,1,1,1,5
049417ceb5cd0516057ab5b9e8f3bb42,0,1,1,1,1,1,-1,0
049b54547a945a2dc670268d383f3f89,1,1,1,1,1,1,0,4
04bfd4b32b66957b53f532d9a9554bdc,1,1,1,1,1,1,1,4
04c93df4e64d5b8421c28e103b7cba43,0,1,1,1,1,1,1,1
04cd14575b88afdc40d59143a325d430,1,1,1,1,1,1,0,4
04d0dc4f8f8e3386c20c669dce3226fc,1,1,1,1,1,1,1,4
050baa841695f3aee4dc0360190b85cb,1,1,1,1,1,1,1,4
050fafaaed24247e6c45001c3eb16901,1,1,1,1,1,1,1,4
0513398b19beadeba9cc3cfbe8473967,1,1,1,1,1,1,0,4
051d2885bc7aa4e214d01e8fb032970f,1,1,1,1,1,1,0,4
0553b99673cec4aae84126595799d04b,0,0,1,1,1,1,-1,3
059201631eb91c0c19dca13de294e0c6,0,1,1,1,0,1,0,3
05a33d00fbe7015caa1dec3a032db941,0,0,1,1,1,1,-1,3
05ee0d9bb5b1789da51fb0c022b33268,1,1,1,1,1,1,-1,7
0624068de0ccf5bb7c90c69d4f55b352,1,1,1,1,1,1,0,4
0644d4e4cca2621149f4c9e17209ea88,1,1,1,1,1,1,0,4
065ab9a1d357e40caf5f9ad4751bb234,1,1,1,1,1,1,1,4
0664e6e42dd9e31bba48798960a43ce5,1,1,1,1,1,1,1,4
0693b10200b798cc047d4aa65d23fd48,1,1,1,1,1,1,0,4
069dc9ec9a610e8feae2aec9f2db0411,1,1,1,1,1,1,0,4
06a2adeae1db03df034f49916d687035,0,0,0,-1,0,-1,-1,2
06bc107a1237a49172bcc05fa64b3c72,0,0,1,1,1,1,-1,3
06c19dca4a85a567510cee61610170c2,1,1,1,1,1,1,1,4
06d32552ae15472e2b305f7c5ac41faa,1,1,1,1,1,1,1,4
06dc7b42a4f3548c04ce748642bf4a9e,1,1,1,1,1,1,0,4
071eedb831063286accf6260e4ac3472,1,1,1,1,1,1,1,4
0742b7c20e14fc0b9390fd5aafef6442,1,1,1,1,0,1,0,10
075a49bedb6c92513c5f0d795b003fe3,1,1,1,1,1,1,1,4
0781661d3d02b653ac4210a661fd3be7,1,1,1,1,1,1,1,4
079f48ce52c4d5167b2c7a2f782ece27,1,1,1,1,1,1,1,4
07a21d9b44e8e567dc44ef0e362abb9d,1,1,1,1,1,1,1,4
07b636a8bf645b7c512be756a8b69fe2,1,1,1,1,1,1,-1,7
081fad571b447985a5a7c3ee6fde98de,0,1,1,-1,0,-1,-1,8
083e68d8050d0d50ac9b1d20c30eeae8,1,1,1,1,1,1,1,4
084c7e415d0ea71778e04814d7a31d68,1,1,1,1,1,1,1,4
0856202cf0b5dc8209471ce088ec34df,1,1,1,1,1,1,1,4
0874641ac8d85f97561bbe7c95398b62,1,1,1,1,1,1,1,4
088ac19da60f218b61333982172f7ea2,1,0,0,-1,1,-1,-1,0
08a55d3bca43e5debf8b9d86896b6d6e,1,1,1,1,1,1,0,4
08c2f5fd502ee1883c647942b8649c22,1,1,1,1,1,1,1,4
08d473157b28ab95bcb4594445da31bf,1,1,1,1,1,1,0,4
08e7f84f3d19a84ea3e5e288d8c0c775,1,1,1,1,1,1,1,4
08eba81e97a35643c99efea3c06ba6d0,0,1,1,-1,0,-1,0,0
08ef0551076b6f978612ef5e165462cc,1,1,1,1,1,1,0,4
08f96d1552982b1f02fde6775a9c02ac,1,1,1,1,1,1,0,4
090503562faf12509c2e7cecdbddec81,1,1,1,1,1,1,1,4
096945fd148f65e9d0e9e11e14a33404,0,0,0,-1,0,-1,-1,7
09b0bb70c4456e39cb26cdf2667b2be7,1,0,0,-1,1,-1,-1,9
09c75f226bc924915a7f4cdaee4aeb73,1,1,1,1,1,1,0,4
09ccad5b1796d0d652967a8fe1a7763e,1,1,1,1,1,1,1,4
0a008557f24103db6e7344020ac82e2b,1,1,1,1,1,1,1,4
0a09bb4f2e9aa954558ccba6d6becf3e,1,1,1,1,1,1,1,4
0a28f126a2c8481cb0bb76c7365c35a7,1,1,1,1,1,1,1,5
0a38a23bbd83e2abb5b01ede789209b5,1,1,1,1,1,1,1,4
0a4cf2a4ae49e6d2b03a591558dcd047,1,1,1,1,1,1,1,4
0a4ea2bc69d0f743172a94d9c5d44d10,0,0,1,1,1,1,-1,3
0a5e6b446e988e8916aaa66417be9ea0,1,1,1,1,1,1,1,4
0a7b7254c5ab082eaba9c19eda3b2539,1,1,1,1,1,1,1,4
0aa72cf7f23aeb9a055d869b1352ab05,1,1,1,1,1,1,-1,7
0ab3cf7a07bff82f98a46c7bab0e415b,1,1,1,1,1,1,1,4
0ab42116bd835dd35aa0363ce80af470,1,1,1,1,1,1,1,4
0ac50a594d064b7d2b4b26ba05abe69d,1,1,1,1,1,1,1,4
0adf7fb5ce8835b7a92cd7e89da5bd42,0,1,1,1,1,1,-1,0
0ae2872900712a791ccea0ec1db225c2,1,1,1,1,1,1,1,4
0b3d35bd3e05517e3d9aac361a766402,1,1,1,1,1,1,0,4
0b9efd653eca995206aa834a4651deeb,1,1,1,1,1,1,0,4
0bcddd46bfb669141322b931582d7dbb,1,1,1,1,1,1,0,4
0bf36e6669b6fb475b3c7409c8e62291,1,1,1,1,1,1,1,4
0c27143190caa96f5ac6a97972590de5,1,1,1,1,1,1,1,4
0c2770420c3c21d131b73f7a6c9d421d,1,1,1,1,1,1,0,4
0c8731295bbeb745c3877028a4729b0a,1,1,1,1,1,1,1,4
0ca2263d9622298e718739297dd50f35,1,1,1,1,1,1,1,4
0cbf09e41d0c3c13e499be3b704e0037,0,0,0,-1,1,-1,-1,0
0cc9fc7f24baf15588f438668d1eb27b,0,0,1,1,1,1,-1,3
0cccafcbc4d1a6d50ccd8fa1df89bc0f,1,1,1,1,1,1,0,9
0ccfcc7482f38e755e6ce32d4655d52a,1,1,1,1,1,1,1,4
0cf00d65acee7181d4679d2ad3da5301,1,0,0,-1,1,-1,-1,10
0d0cf298beaa360b349a6e10303e0821,1,1,1,1,1,1,1,4
0d3bd058bbd771091579a233a28edcd6,1,1,1,1,1,1,1,4
0d3d9f4d71655babc3027d3297afc06e,1,1,1,1,1,1,0,4
0d52c487ca84d09ec138f4b7ae74b630,1,1,1,1,1,1,0,4
0d6442c65dd7bcc898273242e8af3e8c,1,1,1,1,1,1,-1,0
0d7749bdd48e4e8840012a88c25d7288,0,1,1,1,0,1,0,1
0da6433417600313bc0e19fcdf243917,1,1,1,1,1,1,1,4
0da937b093f74c113586cd8de85477a7,1,1,1,1,1,1,1,4
0db0af411f0dc0b3aed07762044a6392,1,1,1,1,1,1,1,4
0db38262f948774611b1396e622798ad,1,1,1,1,1,1,1,4
0de02261ffbd61d38596b47091a74e97,1,1,1,1,1,1,1,4
0de8fc57f6b76ad8f96d9aae6c663976,1,1,1,1,1,1,1,4
0e1bfd7eebaa9c91715f954a28fca2e6,0,1,1,-1,1,-1,-1,1
0e1d92eda3ad3172d234b325439e1482,1,1,1,1,1,1,0,4
0e2d24a99a7afe3e83d0ccf14c6fa5d4,1,1,1,1,1,1,0,4
0e3078913aab28216d3692f3033aa7eb,1,1,1,1,1,1,0,4
0e35b4fe43dc16ad3502fcc8178183eb,1,1,1,1,1,1,0,4
0e6c488099c00760f4e93fc58f81ca32,1,1,1,1,1,1,1,4
0e75e45377153c1bc94fffb842d3a481,1,1,1,1,1,1,1,4
0e9a01b4b3cc55564426f0d296d62846,1,1,1,1,1,1,-1,7
0eb7634e962551c5d5030f9a071f8aa7,1,1,1,1,1,1,0,4
0ee6858e5a257a5487e4aae9f2176a73,1,1,1,1,1,1,1,4
0efe390deac210dafb7e3f22abd7f0b1,1,1,1,1,1,1,0,4
0f022004a17af217c62ea54dbcaaa7e6,1,1,1,1,1,1,1,4
0f1224110c44b11fe1f1fd84575198e7,1,1,1,1,1,1,0,4
0f17f703416095ef313672d731387e0a,1,1,1,1,1,1,1,4
0f4acbb2acfaa97b146f4949729d0ec6,1,0,0,-1,1,-1,-1,10
0f7e44de8c0b30579779be9849ac9490,1,1,1,1,1,1,1,4
0f9eddc5e740edcd96e2f32d6acc3bb3,1,1,1,1,1,1,0,19
0fa360686b6476bc3e5e0cff192ecc5c,1,1,1,1,1,1,1,4
0fc3ea0498b5e44a6864fa5d17962396,1,1,1,1,1,1,1,4
101b32cd2c0f2d64e79056f6f42b90c7,0,0,0,-1,1,-1,-1,1
1038de2669e1ed8c426f04f97bb8f7fe,1,1,1,1,1,1,1,4
108740ff7c0beec434185bf40892871f,1,1,1,1,1,1,1,4
108f6c88da8e7a0e645d314b2b99c0a6,1,1,1,1,1,1,0,4
10d4cdf92cff1fb82b827b62b72612c5,1,1,1,1,1,1,1,4
1106e400916dfadfe15d53d98720db2d,1,1,1,1,1,1,1,4
11096112607f44bd645b2036dc06589d,1,1,1,1,1,1,0,4
111c8d9a73d38b77f3611f0783e328e2,1,1,1,1,1,1,0,4
114c4ebd676f2c881464fc8831c3c9ab,1,1,1,1,1,1,0,4
115bcbbcffacd03ce5681f6948fea4a0,1,1,1,1,1,1,0,4
116f65d57dd9f0aa666505b206d05e2e,1,1,1,1,1,1,1,4
117ca68d168e0f8a83232845f062bcd5,1,1,1,1,1,1,1,5
11874ed313d87d9f3c9a78f99d70c0b3,1,1,1,1,1,1,1,4
11946cd280b296877a7eda14fba4e962,1,1,1,1,1,1,1,4
11c4adbc8e5a581eb5d8ce09eebd3046,0,1,1,1,0,1,0,3
123727895aa5ef2c6bff8a688ab78af1,1,1,1,1,1,1,0,
