id,n_antivm,has_dep,has_aslr,has_gs,has_tls,has_code_integrity,susp_dbg_ts,n_yara_rules
abd94cba0cb748d62aec2f7912a6aed2,0,0,0,-1,0,-1,-1,0
abe02a59f5111df3b3f0e613701ebeca,0,0,0,1,0,1,0,0
abebea15306e30fa06df22c0bb1c26ac,1,1,1,1,1,1,0,0
ac00d68db75b7a83cfc3ff45955c4906,1,1,1,1,1,1,1,0
ac081aa75a6074b483563e1123622cc4,0,0,1,1,0,1,-1,0
ac1f3a5e0b5b04f5fc2b72628f863b36,0,0,0,-1,1,-1,-1,0
ac236154321dcd6a4c59688b58982b44,0,0,0,-1,1,-1,-1,0
acae1beecf5bf5e17710c7c2624cb216,1,1,1,1,1,1,0,0
acb1723ada8a785d7aa6a5c236922296,1,1,1,1,1,1,1,0
acd18b884327c1144b0facdc767e3860,0,0,1,0,0,1,0,0
acd23c0b54db2659df8d18eaa5c96b5d,0,0,0,-1,0,-1,-1,0
acec6c771861a97fbbb502863dc52e4b,1,0,0,-1,1,-1,-1,0
acf4f432bfe32a1aa77f628d4a18579c,0,0,0,-1,0,-1,-1,0
ad219a1600aa4bbb551a68d5ea23021c,1,1,1,1,1,1,1,0
ad2ba2ba24b10e0c9dcf8b2a7fd4d901,1,1,1,1,1,1,1,0
ad53a44f3cf9bcd685b396eac4e712eb,1,1,1,1,1,1,0,0
ad94a9e11d8167f8d6e0e5e6f75f4735,1,1,1,1,1,1,1,0
ad9a18e65e41a08fbd0dea9ab9635f87,0,0,0,-1,1,-1,-1,0
ad9c1a2fac1735d87803907e85011c49,0,1,1,-1,0,-1,-1,0
adc5e86658248eaaf26050a7948b486f,1,1,1,1,1,1,1,0
add0ccaf77ce760d07bdbdf595aa3f9e,0,1,1,1,0,1,-1,3
addf20de157286361166df2f98ce1ef7,0,0,0,-1,1,-1,-1,0
ade7f34f09fe06b7a1c8c267543b6900,0,0,0,-1,0,-1,-1,0
adf03738ebd6bad568dbd795aed0ef0c,1,1,1,1,1,1,0,0
adfa9746a1a6cd36c53870bed4c808ff,0,0,0,-1,0,-1,-1,0
ae2ce454cbd01585b3e6ee16fec32f53,0,0,0,-1,1,-1,-1,0
ae32019722d0241e454b584ac49f3255,0,1,1,1,0,1,-1,0
ae356b2fceb2d67690003864d4f4a213,0,0,0,-1,0,-1,-1,0
ae35f058e0492f60b517140530da372d,0,1,1,1,0,1,0,0
ae38db461823ce75816f92bb96b6067d,0,1,1,-1,0,-1,0,0
ae426b247249e8afe7ef6ae2d561bfd5,1,1,1,1,1,1,1,0
ae4b9ec52b759925b2812a379eb92bd0,0,1,1,-1,0,-1,-1,0
ae72b37d4a7eb140a2a1a33561276d79,0,0,0,-1,0,-1,-1,0
ae929844a7d896504d28e07a38b17e8a,1,1,1,1,1,1,-1,3
aea23121d8865c6816cf57fca7511e68,0,0,0,-1,0,-1,-1,0
aec7c1ab41ef17ac813c85297ca6f8d6,0,1,1,1,0,1,-1,0
aec7cbf62dbabe44424dcda17a045c04,0,0,0,-1,1,-1,-1,0
aeca2acb20a69439a71f4cfd891aae1c,1,1,1,1,1,1,0,0
aed2f6382e905a4e48720d577b10db0a,0,0,0,-1,0,-1,-1,0
aed6bf558d81bb526170121edc0720cb,0,0,0,-1,0,-1,-1,0
aeda422dea68284af07028a3f43f141d,1,1,1,1,1,1,1,0
aef56dcc62f5eb49e03f2ea8a3f61813,1,1,1,1,1,1,1,0
af0df9a16e466354c136f4757b7cc019,0,0,0,-1,1,-1,-1,0
af1d2215180823010667fffa95c6ce5e,0,0,0,-1,1,-1,-1,0
af2a3c24f0db4b9bd12f1a8a1ac2b1be,0,0,0,-1,0,-1,-1,0
af32a95c66b9db4442b0e86f5d71b789,0,0,0,-1,0,-1,-1,0
af8a96797235085157072e0b61e143df,0,0,0,-1,1,-1,-1,0
af956d47797bef432c1c32dfb2b41794,1,1,1,1,1,1,1,0
afca58f7ac9b5e99ff29de8a09b61450,1,1,1,1,1,1,0,0
afd7148bcfb77f1ff626e6d2f35d2a37,1,1,1,1,1,1,1,0
afe7dddbaea6b59c7dba784ccc9aa2f7,0,0,0,-1,0,-1,-1,0
affac979bb630cf0cf052d13f08cf703,0,0,0,-1,0,-1,-1,0
b005a6f5eae34a7c6c1290ae58b48c06,0,0,0,-1,0,-1,-1,0
b0274b9ea5cb46fe6cdb8d5881e8ad40,0,0,0,-1,1,-1,-1,0
b02e1e1c014ac6f939de87471f93254a,0,0,0,-1,1,-1,-1,0
b04886da7c51837c9343d72d41b2bf00,1,1,1,1,1,1,0,5
b0567cf97293b3322d96faa38e3dc074,0,0,0,-1,1,-1,-1,0
b080fbb63ede14f821453b7a39df697d,0,0,0,-1,1,-1,-1,0
b0b91204463c943717377312cd4083f3,0,0,0,-1,0,-1,-1,0
b0cd9de6a48425b6f24e34f6c48e5e50,0,0,0,-1,0,-1,-1,0
b0d779ec73815ca6fb79825530c60e58,1,1,1,1,1,1,1,0
b0dea39e42eb4c0447de45a4ea5d0785,1,1,1,1,1,1,1,0
b0e3fe001cf844e3e021ee644f1a0177,0,0,0,-1,0,-1,-1,0
b0edd6263dcc71f04da1a2121e9c00ee,0,0,0,-1,0,-1,-1,0
b0f1981c0816a5cc296a921efb9a3ee8,0,0,0,-1,0,-1,-1,0
b126d04b2f54d156f3b63f5565225596,0,0,0,-1,1,-1,-1,0
b15d6b76fcc3a15e8e2fd312ddfeac8e,0,0,0,1,0,1,-1,0
b1a65d11b3c516817037b1878b19c94e,0,0,0,-1,0,-1,-1,0
b1cb73c89ef7366b74385ef5ec22d7ea,1,1,1,1,1,1,1,0
b1e28ae23ede9957b3fb976e362c0fc3,1,1,1,1,1,1,0,0
b1e57b0ad55a457c35af3b982de5c106,1,1,1,1,1,1,1,0
b1ea7453ccd5645de4b55d10d2ed036a,0,0,0,-1,1,-1,-1,0
